"portal","country","usage","published_cap","cap_kb","cap_type","total_or_max_files","formats","source_url","date_checked","confidence"
"HelloWork","FR","Resume upload to the resume database","500 ko","500","published_cap","not stated","RTF, DOC, PDF","https://www.hellowork.com/fr-fr/medias/deposer-son-cv-dans-la-cvtheque.html","2026-09-15","official"
"ANTS (immatriculation)","FR","Supporting documents for a vehicle registration request","1 Mo","1024","published_cap","not stated","PDF, JPEG, PNG (per the ANTS reply)","https://www.plus.transformation.gouv.fr/experiences/7058518_format-document-1mo","2026-09-15","institutional (official France Titres-ANTS reply dated 2026-02-09 on Services Publics+; not found on immatriculation.ants.gouv.fr/aide-et-contact)"
"Mon Master","FR","Supporting documents for a master's application (resume, transcripts, etc.)","2Mo (« pour une majorité des pièces »)","2048","published_cap","one document per item (merge the PDFs)","PDF","https://information.monmaster.gouv.fr/documents/5/Guide_du_candidat_-_phase_candidature-pourCMS_compressed.pdf","2026-09-15","official (2 MB applies to most items, per the candidate guide)"
"Urssaf","FR","Attachments in the online account messaging","2 Mo par document","2048","published_cap","not stated","Excel, PDF, JPEG, TIFF (images compressed automatically)","https://www.urssaf.fr/accueil/services/utiliser-messagerie-espace.html","2026-09-15","official"
"eCandidat","FR","Uploaded supporting documents (software default, FILE_MAX_SIZE setting)","2 Mo par défaut, 10 Mo maximum autorisé","2048","published_cap","not stated","not stated on the source page (example: Toulouse Jean Jaurès accepts PDF, JPG, PNG up to 5 MB)","https://www.esup-portail.org/wiki/pages/viewpage.action?pageId=522878982","2026-09-15","institutional (ESUP-Portail vendor documentation; 2 MB default, 10 MB maximum allowed; university example: https://ecandidat.univ-tlse2.fr/html/guideWeb/co/Depot_des_pieces_justificatives.html)"
"APEC","FR","Adding a resume to the Apec profile","3 Mo","3072","published_cap","file must contain at least 500 characters","DOC, DOCX, PDF","https://www.apec.fr/files/live/sites/www/files/documents_reference/candidat/ProfilApecguide%20candidats_2024.pdf","2026-09-15","official"
"Cadremploi","FR","Resume upload","3Mo","3072","published_cap","not stated","DOC, DOCX, PDF, RTF, TXT","https://cadremploi.zendesk.com/hc/fr/articles/22698362578460-Comment-d%C3%A9poser-mon-CV-sur-Cadremploi","2026-09-15","official"
"MSA","FR","Uploading a document from the private account","3 Mo (3000 Ko) par fichier image","3000","published_cap","15 image files maximum per document","PDF, JPEG/JPG, PNG","https://aide.msa.fr/lfp/en/deposer-des-documents-","2026-09-15","official"
"L'Assurance retraite","FR","Sending supporting documents online","4Mo (« Les fichiers de plus de 4Mo ne sont pas acceptés »)","4096","published_cap","not stated","PDF, JPG/JPEG (ZIP and RAR forbidden)","https://www.lassuranceretraite.fr/portail-info/hors-menu/annexe/aide-envoi-fichiers.html","2026-09-15","official"
"France Travail","FR","Attachment to an email to the adviser from the personal account","5 MO","5120","published_cap","not stated","PDF, JPG, JPEG, PNG, GIF, 3GPP, TXT, HTML, WAV, ZIP","https://www.francetravail.fr/faq/candidat/assistance-technique/envoyer-mail-conseiller/piece-jointe-non-reconnue.html","2026-09-15","official (the ""Envoyer des documents"" service has no documented cap in the FAQ; France Travail mentions ""la limitation à 5 Mo"" in a Services Publics+ reply dated 2025-10-01)"
