"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"HelloWork","FR","Resume upload to the resume database","500 ko","500","not stated","RTF, DOC, PDF","https://www.hellowork.com/fr-fr/medias/deposer-son-cv-dans-la-cvtheque.html","2026-09-15","official"
"ANTS (immatriculation)","FR","Supporting documents for a vehicle registration request","1 Mo","1024","not stated","PDF, JPEG, PNG (per the ANTS reply)","https://www.plus.transformation.gouv.fr/experiences/7058518_format-document-1mo","2026-09-15","institutional (official France Titres-ANTS reply dated 2026-02-09 on Services Publics+; not found on immatriculation.ants.gouv.fr/aide-et-contact)"
"Mon Master","FR","Supporting documents for a master's application (resume, transcripts, etc.)","2Mo (« pour une majorité des pièces »)","2048","one document per item (merge the PDFs)","PDF","https://information.monmaster.gouv.fr/documents/5/Guide_du_candidat_-_phase_candidature-pourCMS_compressed.pdf","2026-09-15","official (2 MB applies to most items, per the candidate guide)"
"Urssaf","FR","Attachments in the online account messaging","2 Mo par document","2048","not stated","Excel, PDF, JPEG, TIFF (images compressed automatically)","https://www.urssaf.fr/accueil/services/utiliser-messagerie-espace.html","2026-09-15","official"
"eCandidat","FR","Uploaded supporting documents (software default, FILE_MAX_SIZE setting)","2 Mo par défaut, 10 Mo maximum autorisé","2048","not stated","not stated on the source page (example: Toulouse Jean Jaurès accepts PDF, JPG, PNG up to 5 MB)","https://www.esup-portail.org/wiki/pages/viewpage.action?pageId=522878982","2026-09-15","institutional (ESUP-Portail vendor documentation; 2 MB default, 10 MB maximum allowed; university example: https://ecandidat.univ-tlse2.fr/html/guideWeb/co/Depot_des_pieces_justificatives.html)"
"APEC","FR","Adding a resume to the Apec profile","3 Mo","3072","file must contain at least 500 characters","DOC, DOCX, PDF","https://www.apec.fr/files/live/sites/www/files/documents_reference/candidat/ProfilApecguide%20candidats_2024.pdf","2026-09-15","official"
"Cadremploi","FR","Resume upload","3Mo","3072","not stated","DOC, DOCX, PDF, RTF, TXT","https://cadremploi.zendesk.com/hc/fr/articles/22698362578460-Comment-d%C3%A9poser-mon-CV-sur-Cadremploi","2026-09-15","official"
"MSA","FR","Uploading a document from the private account","3 Mo (3000 Ko) par fichier image","3000","15 image files maximum per document","PDF, JPEG/JPG, PNG","https://aide.msa.fr/lfp/en/deposer-des-documents-","2026-09-15","official"
"L'Assurance retraite","FR","Sending supporting documents online","4Mo (« Les fichiers de plus de 4Mo ne sont pas acceptés »)","4096","not stated","PDF, JPG/JPEG (ZIP and RAR forbidden)","https://www.lassuranceretraite.fr/portail-info/hors-menu/annexe/aide-envoi-fichiers.html","2026-09-15","official"
"France Travail","FR","Attachment to an email to the adviser from the personal account","5 MO","5120","not stated","PDF, JPG, JPEG, PNG, GIF, 3GPP, TXT, HTML, WAV, ZIP","https://www.francetravail.fr/faq/candidat/assistance-technique/envoyer-mail-conseiller/piece-jointe-non-reconnue.html","2026-09-15","official (the ""Envoyer des documents"" service has no documented cap in the FAQ; France Travail mentions ""la limitation à 5 Mo"" in a Services Publics+ reply dated 2025-10-01)"
"MaPrimeRénov'","FR","Supporting documents uploaded in the grant application","5 mégaoctets par pièce","5120","not stated","PDF, JPG, JPEG, ZIP (no password)","https://www.ecologie.gouv.fr/sites/default/files/documents/ANAH_MPR_Professionnels_20201105.pdf","2026-09-15","institutional (Anah FAQ from 2020; nothing on france-renov.gouv.fr/faq or in the 2025 Anah step-by-step guide)"
"justice.fr (portail du justiciable)","FR","Supporting documents for an online court filing","inférieure à 5 mégaoctets","5120","50 documents per filing","PDF, JPEG, PNG","https://www.cours-appel.justice.fr/sites/default/files/2021-02/requ%C3%AAte%20num%C3%A9rique%20le%20pas%20%C3%A0%20pas%20du%20justiciable.pdf","2026-09-15","institutional (Ministry of Justice guide, 2021)"
"Welcome to the Jungle","FR","Resume attached to a job application","5MB","5120","not stated","PDF only","https://help.welcometothejungle.com/en/some-troubles-to-apply-on-welcome-to-the-jungle","2026-09-15","official"
"CAF","FR","Sending a document from the online account","10 Mo maximum pour l'ensemble des documents d'un envoi","10240","10 MB per submission; one document type per submission","JPEG, PDF, JPG, PNG, GIF","https://www.caf.fr/allocataires/caf-du-nord/offre-de-service/thematique-libre/envoyer-un-document-la-caf-depuis-mon-espace-mon-compte","2026-09-15","official (10 MB is the total for all documents of one submission)"
"ANEF (étrangers en France)","FR","Attachments for online immigration procedures (portal help page)","10 Mo","10240","not stated","PDF, JPG, PNG","https://etrangers-en-france.interieur.gouv.fr/aide","2026-09-15","official"
"DossierFacile","FR","Uploading supporting documents for a rental application file","10 Mo par fichier","10240","50 MB per document; 5 to 20 files depending on the category","not stated on the source page","https://partenaire.dossierfacile.logement.gouv.fr/documentation-technique/api/taille-maximale-dupload-des-documents","2026-09-15","official (technical documentation)"
"Guichet unique des formalités d'entreprises (INPI)","FR","Supporting documents for a business formality","10 Mo par fichier","10240","not stated","PDF only","https://formalites.entreprises.gouv.fr/justificatifs.php","2026-09-15","official"
"Chorus Pro","FR","Attachments to an invoice","10 Mo par pièce jointe unitaire","10240","120 MB per invoice file (entry or PDF upload), 30 MB for XML batch upload; file name 50 characters max","46 extensions including PDF, XML, XLSX, DOCX, JPG, PNG, ZIP","https://communaute.chorus-pro.gouv.fr/pieces-jointes-dans-chorus-pro-quelques-regles-a-respecter/","2026-09-15","official"
"ANTS (CNI/passeport et permis de conduire)","FR","Supporting documents for ID card/passport pre-applications and driving licence applications","11Mo","11264","driving licence: up to 7 additional documents","ID card/passport: JPEG, PNG, PDF; driving licence: JPG, PNG, BMP, TIFF, PDF","https://passeport.ants.gouv.fr/aide-et-contact/transmettre-mes-justificatifs-en-ligne","2026-09-15","official (driving licence: https://permisdeconduire.ants.gouv.fr/aide-et-contact/pieces-du-dossier)"
"La Poste, Lettre recommandée en ligne","FR","File of a letter sent online","20 Mo maximum","20480","90 pages (45 double-sided sheets) for online registered mail","PDF, JPEG, JPG, PNG","https://aide.laposte.fr/contenu/quel-format-doit-avoir-mon-courrier-envoye-en-ligne","2026-09-15","official"
"Doctolib","FR","Sending a document to a practitioner before an appointment","50 MO","51200","not stated","JPEG, JPG, PNG, PDF","https://doctolibpatient.zendesk.com/hc/fr/articles/360009570200-Envoyer-un-document-%C3%A0-mon-soignant-en-amont-de-ma-consultation","2026-09-15","official"
"Démarches simplifiées","FR","Attachments to an application file","200 Mo au total par champ","204800","200 MB per field; ID documents 20 MB max (JPG, JPEG, PNG)","PDF, DOC, DOCX, XLS, XLSX, CSV, PPT, PPTX, ODT, ODS, ODP, JPG, JPEG, PNG","https://doc.demarches-simplifiees.fr/tutoriels/tutoriel-usager","2026-09-15","official (200 MB is the total per field)"
