"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"LinkedIn","DE","Resume for a job application (recommendation, not counted)","Wir empfehlen eine Dateigröße von weniger als 2 MB.","2048","not stated","DOC/DOCX, PDF","https://www.linkedin.com/help/linkedin/answer/a510363/ihren-lebenslauf-auf-linkedin-hochladen?lang=de","2026-09-16","official (recommendation, not a hard cap)"
"Bundesagentur für Arbeit, JOBBÖRSE","DE","All attachments of one job application (help page of the older JOBBÖRSE interface)","Die gesamte Größe der Anlagen für diese Bewerbung darf 3 MB nicht überschreiten.","3072","3 MB total for all attachments of an application","PDF (recommended), DOC, DOCX, ODF, PPS, PPSX, RTF, TXT, XLS, XLSX, BMP, GIF, JPG, PNG, ZIP","https://jobboerse.arbeitsagentur.de/vamJB/hilfe/de/AS/betreut/1438.html","2026-09-16","official (help page of the older JOBBÖRSE interface; may differ in the current job search)"
"ElterngeldDigital","DE","Supporting documents for parental allowance","Die Dateigröße beträgt maximal 5 MB pro Anhang.","5120","total per application also limited (figure not published)","PDF, JPG, PNG","https://www.elterngeld-digital.de/ams/content/Elterngeld/haeufige-fragen-online-antrag","2026-09-16","official"
"LMU München GraduateCenter","DE","Doctoral application documents","Die einzelne Datei darf eine Größe von 5 MB nicht überschreiten.","5120","not stated","PDF unencrypted, JPG, PNG","https://www.portal.graduatecenter.lmu.de/gc-application/de/node/331","2026-09-16","official"
"Service-Portal Berlin, WBS","DE","Housing eligibility certificate (30 MB total)","Eine einzelne Datei darf maximal 5 MB groß sein","5120","30 MB total","PDF, JPG","https://service.berlin.de/dienstleistung/120671/","2026-09-16","official"
"Service-Portal Berlin, Wohngeld","DE","Housing benefit application (30 MB total)","Die Gesamtgröße Ihrer Dateien darf 30 MB nicht überschreiten","5120","30 MB total","PDF, JPG","https://service.berlin.de/dienstleistung/120656/","2026-09-16","official"
"KKH","DE","Document upload (5 files, 10 MB total)","Die maximale Gesamtgröße aller Dateien darf insgesamt 10 MB nicht überschreiten.","5120","5 files, 10 MB total","JPG, JPEG, PNG, PDF","https://www.kkh.de/meine-kkh/dokumente-hochladen","2026-09-16","official"
"Service-Portal Berlin, Einbürgerung","DE","Naturalisation application (100 MB total)","Eine einzelne Datei darf maximal 7 MB groß sein.","7168","100 MB total","PDF, JPG, JPEG, PNG","https://service.berlin.de/dienstleistung/318998/","2026-09-16","official"
"jobcenter.digital","DE","Documents for citizen's income (Bürgergeld), figure published by local jobcenters","Bitte beachten Sie hierbei die maximale Dateigröße von 7,5 MB.","7680","not stated","PDF, JPG, JPEG","https://www.jobcenter-nordsachsen.de/service/jobcenter-digital","2026-09-16","official (local jobcenter page; another jobcenter states 7.5 MB for the whole message)"
"ELSTER","DE","Supporting documents sent after a tax return (20 attachments, 200 pages max each)","maximale Dateigröße je Anhang: 10 MB","10240","20 attachments, 36.91 MB total, 200 PDF pages per attachment","PDF","https://www.elster.de/eportal/helpGlobal?themaGlobal=help_belegnachreichung","2026-09-16","official"
"uni-assist","DE","Application documents of international students","Each file can be a maximum of 10 MB in size.","10240","not stated","PDF","https://www.uni-assist.de/en/faqs/apply-online/","2026-09-16","official"
"KfW","DE","Proof documents for the heating grant (20 MB per proof)","Jede Datei darf maximal 10 MB groß sein.","10240","20 MB per proof document","PDF","https://www.kfw.de/inlandsfoerderung/Heizungsf%C3%B6rderung/Nachweiseinreichung/","2026-09-16","official"
