"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"MPSC","IN","Certificates on the mpsconline.gov.in portal (interface message, undated)","Please select a document less than or equal to 150KB.","150","not stated","PDF; photo under 35 KB, signature under 20 KB","https://mpsconline.gov.in/candidate","2026-09-16","official (portal interface messages, no publication date)"
"UPSC","IN","Photo ID and PwBD certificate (FAQ of the portal used in 2025; the 2026 portal may differ)","Photograph identity card document / certificate related to writing extremity of PwBD ... not exceed 300 KB and must not less than 50 KB.","300","not stated","PDF (ID document); photo and signature JPG 20 to 300 KB","https://upsconline.gov.in/upsc/OTRP/candidate/FAQs.pdf","2026-09-16","official (technical FAQ of the former OTR portal; the 2026 notice gives no figure)"
"NEET (UG) 2026","IN","Category and class 10 certificates, address proof and other PDFs","Scanned copy of Category Certificate (if applicable) should be in pdf format between 50 kb to 300 kb.","300","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-100 KB in JPG","https://cdnbbsr.s3waas.gov.in/s37bc1ec1d9c3426357e69acd5bf320061/uploads/2026/02/202602231394640855.pdf","2026-09-16","official"
"JEE (Main) 2026","IN","Class 10 certificate, disability certificate","Scanned copy of Class 10 or Equivalent Certificate/Marks-sheet should be a pdf between 50 kb to 300 kb (clearly legible).","300","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-100 KB in JPG","https://cdnbbsr.s3waas.gov.in/s3f8e59f4b2fe7c5705bf878bbd494ccdf/uploads/2025/11/202511021649722475.pdf","2026-09-16","official"
"CUET (UG) 2026","IN","Disability / UDID certificate","Scanned copy of Disability/UDID certificate should be a pdf between 50 kb to 300 kb (clearly legible).","300","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-50 KB in JPG","https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2026/01/202601031633478370.pdf","2026-09-16","official"
"UGC-NET June 2026","IN","Disability / UDID certificate, both sides in one PDF","Pwd/PwBD Disability Certificate/UDID with both side in same pdf (file size: 50kb-300kb).","300","not stated","PDF 50-300 KB; photo 10-200 KB, signature 10-50 KB in JPG","https://cdnbbsr.s3waas.gov.in/s301eee509ee2f68dc6014898c309e86bf/uploads/2026/04/202604301078678748.pdf","2026-09-16","official"
"RRB NTPC (CEN 06/2025)","IN","SC/ST certificate for the free rail pass (scanned notice hosted by RRB Bhubaneswar)","The document must be in PDF format only. File size should be less than 400 KB.","400","not stated","PDF only; signature JPG 30-49 KB; live photo","https://www.rrbbbs.gov.in/documentexplorer.php?prmt=TVRZd01nPT0=","2026-09-16","official"
"IBPS (PO/MT-XVI)","IN","Class 10 certificate, A4 page","Document must be in PDF format. Page size of the document to be A4. Size of the file should not be exceeding 500 KB.","500","not stated","PDF (certificate); photo 20-50 KB, signature 10-20 KB, thumb 20-50 KB, declaration 50-100 KB in JPEG","https://www.ibps.in/wp-content/uploads/Detailed-Notification_CRP-PO-XVI_Final_V1_30.06.2026.pdf","2026-09-16","official"
"SBI Careers","IN","Documents and detailed resume, specialist officer advertisement of August 2026","Size of the file should not be exceeding 500 kb.","500","not stated","PDF, A4; photo 20-50 KB, signature 10-20 KB in JPG","https://sbi.bank.in/documents/77530/57941334/FINAL+ADVT+CRPD_SCO_2026-27_12.pdf/1c6d4f7f-ca97-cc9c-6e00-5b6744a1283d?t=1786026186547","2026-09-16","official"
"ICICI Bank","IN","KYC update for non-resident customers on iMobile (Net Banking: 500 to 1,800 KB by document)","File size limit: The file size of each document should not exceed the upper limit of 500 KB.","500","Net Banking: 500 to 1,800 KB depending on document and account type","PDF, JPEG, JPG, PNG","https://www.icici.bank.in/nri-banking/update-kyc","2026-09-16","official"
"Passport Seva","IN","All supporting documents together, 5 documents max (SOP published by an Indian mission)","Maximum Size allowed 1 MB. The total of all uploaded documents should be not more than 1 MB","1024","1 MB for all uploaded documents, 5 documents max","PDF only","https://hcimbabane.gov.in/uploads/SOP_applicant_portal26_11_2025.pdf","2026-09-16","official (SOP of the High Commission of India, Mbabane, November 2025)"
"GST portal (registration)","IN","Registration documents (500 KB for bank statements)","all documents must be in either PDF or JPEG format and the file size should NOT exceed 1 MB","1024","500 KB for bank statements or passbook","PDF or JPEG; photos 100 KB","https://cbic-gst.gov.in/pdf/faq-manual/faqs-registration.pdf","2026-09-16","official"
"Kotak Mahindra Bank","IN","KYC documents in net or mobile banking","formats allowed for the scanned documents are PDF, JPEG, JPG, GIF and PNG and the file size should be less than 1 MB","1024","5 MB total per secure mail (non-resident customers)","PDF, JPEG, JPG, GIF, PNG","https://www.kotak.bank.in/en/help-center/bank-account/kyc-and-re-kyc/do-you-wish-to-update-your-kyc-information.html","2026-09-16","official"
"Naukri.com","IN","Resume upload","Please try reducing the size of your document to less than 2 MB.","2048","not stated","pdf, rtf, doc, docx","https://www.naukri.com/faq/job-seeker-create-naukri-profile","2026-09-16","official"
"LinkedIn","IN","Resume for a job application (recommendation, not counted)","We recommend a file size less than 2MB and the file format must be either Microsoft Word or PDF.","2048","not stated","Microsoft Word or PDF","https://www.linkedin.com/help/linkedin/answer/a510363/","2026-09-16","official (recommendation, not a hard cap)"
"Income Tax e-filing","IN","Attachments to an e-Proceedings response (10 files, 50 MB total)","The maximum size permitted of a single attachment is 5 MB.","5120","10 attachments, 50 MB total","not stated","https://www.incometax.gov.in/iec/foportal/help/respond-to-e-proceedings-faq","2026-09-16","official"
"GST portal (refund)","IN","Refund documents (10 files, 50 MB total)","The GST Common Portal allows taxpayers to upload 10 documents up to 5 MB each (total 50 MB).","5120","10 documents, 50 MB total","PDF advised","https://tutorial.gst.gov.in/downloads/news/tips_refund.pdf","2026-09-16","official"
"Internshala","IN","Resume import in the Resume Maker tool, not the application itself","Accepts PDF, DOCX (Max 5MB).","5120","not stated","PDF, DOCX","https://internshala.com/resume-maker/","2026-09-16","official (limit shown in the Resume Maker import, not in a help centre)"
"eCourts e-filing","IN","Documents in court e-filing (user manual, August 2018)","Currently the maximum size a document can be uploaded is 25MB","25600","not stated","PDF scanned at 200 dpi; photo JPG under 50 KB","https://ecourts.gov.in/ecourts_home/static/manuals/efiling-User-manual.pdf","2026-09-16","official (user manual printed August 2018; limit may have changed)"
"SSC (CGL 2026)","IN","Certificates and OTR documents (only the signature size is published: JPG 10 to 20 KB)","not documented","","not stated","signature JPG 10 to 20 KB; live photo","https://ssc.gov.in/api/attachment/uploads/masterData/NoticeBoards/Notice_of_adv_cgl_2025.pdf","2026-09-16","not documented"
"SBI Junior Associates 2026","IN","Application asks for four JPG images only (photo 20-50 KB, signature 10-20 KB), no PDF","not documented","","not stated","JPG/JPEG only","https://sbi.bank.in/webfiles/uploads/files_2627/08/JA_2026_Detailed_Advt_Eng.pdf","2026-09-16","not documented"
"GATE 2026","IN","Category and disability certificates (size applied only inside the logged-in GOAPS form)","not documented","","not stated","PDF; photo JPEG 5-600 KB, signature 3-300 KB","https://gate2026.iitg.ac.in/doc/IB/GATE2026-IB-10102025.pdf","2026-09-16","not documented"
"TNPSC","IN","One-time registration (notifications site unreachable from outside India)","not documented","","not stated","photo and signature JPEG","https://apply.tnpscexams.in/otr?app_id=UElZMDAwMDAwMQ==","2026-09-16","not documented"
"BPSC","IN","Combined competitive exam (official sites unreachable from outside India)","not documented","","not stated","not stated","https://bpsc.bihar.gov.in/","2026-09-16","not documented"
"UPPSC","IN","PCS exam and one-time registration","not documented","","not stated","not stated","https://uppsc.up.nic.in/OuterPages/OnlineInstruction_English.html","2026-09-16","not documented"
"National Scholarship Portal","IN","Scholarship documents (format and size shown in the upload pop-up only)","not documented","","not stated","not stated","https://scholarships.gov.in/public/FAQ/FAQ%20NSP.pdf","2026-09-16","not documented"
"DigiLocker","IN","Uploaded documents (only contradictory third-party figures)","not documented","","not stated","not stated","https://www.digilocker.gov.in/","2026-09-16","not documented"
"AICTE","IN","Approval portal and scholarships","not documented","","not stated","not stated","https://www.aicte.gov.in/","2026-09-16","not documented"
