"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"DGT","ES","Attachments to a procedure for leasing companies","Se podrán adjuntar tantos archivos como sean necesarios, con un límite de 2 MB por fichero.","2048","not stated","not stated","https://sede.dgt.gob.es/es/vehiculos/tramites-para-empresas/arrendatarios-vehiculos-renting/","2026-09-16","official (procedure for companies; DGT pages for individuals publish no limit)"
"LinkedIn","ES","Resume for a job application (recommendation)","Recomendamos subir un archivo de menos de 2 MB en formato Microsoft Word o PDF.","2048","not stated","Word, PDF","https://www.linkedin.com/help/linkedin/answer/a510363/cargar-tu-curriculum-cuando-solicitas-un-empleo-en-linkedin?lang=es","2026-09-16","official (recommendation, not a hard cap)"
"Distrito Único Andaluz","ES","Master's pre-enrolment documents, PDF only","todos los documentos que se adjunten en la solicitud deben estar en formato PDF y no superar el tamaño máximo permitido (4MB)","4096","not stated","PDF","https://www.uhu.es/master-quimica-sanitaria/sites/master-quimica-sanitaria/files/2025-06/2024_manual_preinscripcion_VERSION_GENERAL.pdf","2026-09-16","official"
"Universidad Pública de Navarra","ES","Undergraduate pre-enrolment documents, no phone photos","Tamaño máximo de cada documento: 4 Mb.","4096","not stated","PDF (no phone photos)","https://www.unavarra.es/sites/estudios/acceso-y-admision/admision-en-estudios-de-grado/haz-tu-preinscripcion.html","2026-09-16","official"
"InfoJobs","ES","Attached resume (PDF or DOC)","El formato del CV deberá ser Pdf o Doc y no podrá superar los 5 MB.","5120","not stated","PDF, DOC","https://ayuda.infojobs.net/hc/es/articles/40722392329745--C%C3%B3mo-puedo-crear-y-adjuntar-un-nuevo-CV","2026-09-16","official"
"Ajuntament de Barcelona","ES","Generic request, 6 attachments","hi ha un límit de sis documents annexos i una mida màxima de 5 Mb en total","5120","6 attachments, 5 MB total","PDF, JPG, TIFF","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-electronic","2026-09-16","official"
"Generalitat de Catalunya","ES","Downloadable PDF forms, attachments included","for forms that you have to download to your computer (PDF), with the attached documents included, it cannot exceed 5 MB.","5120","5 MB total","PDF, JPG, etc.","https://web.gencat.cat/en/seu-electronica/tramitacio/suport-tramitacio/durant-la-tramitacio/adjuntar-documents-al-formulari-del-tramit","2026-09-16","official"
"Gobierno Vasco","ES","General e-registry (per-file figure is a recommendation)","Tamaño máximo recomendado por fichero: 5 MB / Tamaño máximo del conjunto de ficheros adjuntos: 15 MB","5120","15 MB total (maximum)","pdf, docx, xlsx, jpg, png, zip and others","https://www.euskadi.eus/formatos-y-estandares-admitidos-en-el-registro-electronico-general/web01-sede/es/","2026-09-16","official (5 MB per file recommended, 15 MB total maximum)"
"Agencia Tributaria Canaria","ES","Attachments to Canary Islands tax procedures","Los ficheros tendrán un tamaño máximo de 8.5 MB por fichero.","8704","not stated","TXT, XML, PDF, JPG, TIFF, PNG, RTF, ODT, ODS, HTML","https://sede.gobiernodecanarias.org/tributos/jsf/publico/sede/la_sede/requisitos_tecnicos/formatos.jsp","2026-09-16","official"
"Registro Electrónico General (AGE)","ES","Generic submission to any State body, 5 documents","puede adjuntar hasta 5 documentos. El tamaño máximo por documento es de 10 Mb. El tamaño del conjunto de los documentos no podrá exceder de 15 Mb.","10240","5 documents, 15 MB total","not stated","https://sede.administracion.gob.es/PAG_Sede/ServiciosElectronicos/RegistroElectronicoGeneral.html","2026-09-16","official"
"SEPE","ES","Documents for unemployment benefit, 5 documents","Máximo: solo se permite anexar entre 1 y 5 documentos. Tamaño: los archivos tendrán entre 1Kb y 10Mb","10240","1 to 5 documents","not stated","https://sede.sepe.gob.es/dam/portalSede/pdf/Guia_de_uso_Servicio_Aportar_Documentacion.pdf","2026-09-16","official"
"Seguridad Social (registro electrónico)","ES","Documents added to a Social Security file","El tamaño total de la documentación a anexar no deberá superar los 10 Mb.","10240","10 MB total","not stated","https://sede.seg-social.gob.es/wps/portal/sede/sede/Inicio/RegistroElectronico/aportacion","2026-09-16","official"
"Import@ss","ES","Documents for a change in self-employed data (wording suggests a total)","La documentación requerida en cada caso, que no podrá superar los 10 MB.","10240","10 MB total","not stated","https://portal.seg-social.gob.es/wps/portal/importass/importass/Categorias/Altas,+bajas+y+modificaciones/Bajas+y+modificaciones/Solicitud_mod_datos_trabajo_autonomo","2026-09-16","official (ambiguous wording, probably a total)"
"Ayuntamiento de Madrid","ES","Requests to the city, up to 13 documents","Se permite adjuntar hasta un máximo de 13 documentos (hasta 15 MB en total y un máximo de 10 MB por documento)","10240","13 documents, 15 MB total","pdf, docx, jpg, png, odt, zip and others","https://www.madrid.es/portales/munimadrid/es/Inicio/Informacion-en-materia-de-Registro/Informacion-sobre-el-registro-electronico/Registro-electronico/?vgnextfmt=default&vgnextoid=4d629f7aec219210VgnVCM100000171f5a0aRCRD&vgnextchannel=293f0c10c6b05810VgnVCM1000001d4a900aRCRD","2026-09-16","official"
"Ingreso Mínimo Vital","ES","Documents for the whole household's application","El tamaño máximo total de la documentación que puede adjuntar es de 15Mb.","15360","15 MB total","not stated","https://sede.seg-social.gob.es/wps/portal/sede/sede/Ciudadanos/Otros+Procedimientos/270420INSS_SinC","2026-09-16","official"
"Ministerio de Sanidad","ES","Attachments to a request (15 MB on the generic request form)","El tamaño máximo de todos los ficheros que se adjuntan a una solicitud no puede superar los 20 MB","20480","20 MB total","not stated","https://sede.mscbs.gob.es/registroElectronico/pdf/Guia_de_ayuda_para_la_presentacion_de_formularios.pdf","2026-09-16","official"
