"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"Reed.co.uk","UK","CV upload (job seeker profile)","1 MB","1024","not stated","not stated on page","https://www.reed.co.uk/help/registration","2026-09-15","official"
"Totaljobs","UK","CV upload (profile / application)","maximum size of 1MB","1024","not stated","Word (.doc, .docx) or PDF, not password-protected","https://help.totaljobs.com/s/article/How-do-I-upload-my-CV","2026-09-15","official"
"HMRC Self Assessment online","UK","PDF attachments to a Self Assessment return (5 MB total across all attachments)","5MB un-encoded (summed size of ALL attachments)","5120","5 MB total for all attachments; number of attachments limited on SA Online (figure not published)","PDF only","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/764105/2019-nonform.pdf","2026-09-15","official"
"UCAS","UK","Uploading documents to the undergraduate application","restricted to 5MB","5120","maximum of 30 individual documents","pdf, jpeg, jpg, png, doc, docx, odt","https://www.ucas.com/applying/applying-to-university/uploading-documents-to-your-application","2026-09-15","official"
"GOV.UK UKVI (EU Settlement Scheme)","UK","Supporting evidence for an EU Settlement Scheme application","no more than 6MB per document","6144","maximum of 10 documents","photos or scans (general UKVI guidance: PNG, JPG, JPEG for photos; PDF, PNG, JPG, JPEG for scans)","https://www.gov.uk/guidance/eu-settlement-scheme-evidence-of-uk-residence","2026-09-15","official"
"Companies House WebFiling","UK","PDF attachment (copy of deed) for charge registration","no bigger than 10 MB","10240","not stated","PDF, version 1.2 to 1.7 inclusive","https://ewf.companieshouse.gov.uk/help/en/stdwf/charges.html","2026-09-15","official"
"CV-Library","UK","CV upload at registration","under 10 megabytes","10240","not stated",".doc, .docx, .pdf","https://www.cv-library.co.uk/help/register-your-cv","2026-09-15","official"
"HMCTS CE-File","UK","Electronic court filing via CE-File","not exceed 100 megabytes or such other limit that may be specified by HMCTS","102400","not stated","not stated on PD page","https://www.justice.gov.uk/practice-direction-5c-ce-file-electronic-filing-and-case-management-system","2026-09-15","official"
"Universal Credit","UK","Document upload in the online account / journal","not documented","","not stated","not stated","https://www.gov.uk/universal-credit/how-to-claim","2026-09-15","not documented"
"DVLA","UK","Online driving licence services","not documented (online renewal uses passport photo, no document upload described)","","not stated","not stated","https://www.gov.uk/renew-driving-licence","2026-09-15","not documented"
"NHS App / GP online services","UK","Documents in the NHS App (patient side is download only)","not documented (not verifiable)","","not stated","not stated","https://www.nhs.uk/nhs-app/nhs-app-help-and-support/","2026-09-15","not documented"
"Indeed (UK)","UK","CV upload to profile / applications","not documented (help pages state formats only)","","not stated","not stated on help page","https://www.indeed.com/help/job-seekers/articles/4408783727629-uploading-a-cv-file-to-your-profile?hl=en&co=GB","2026-09-15","not documented"
