"portal","country","usage","published_cap","cap_kb","total_or_max_files","formats","source_url","date_checked","confidence"
"Common App","US","Applicant upload (SAT score report PDF; general cap page requires login)","2000 KB","2000","not stated","PDF (score report)","https://appsupport.commonapp.org/s/article/SAT-score-report-PDF-file-size-2000-KB","2026-09-25","official"
"LinkedIn","US","Resume upload in Easy Apply (2 MB is a recommendation, not a hard cap)","recommended file size less than 2MB (recommendation, not stated as hard cap)","2048","not stated","Microsoft Word or PDF","https://www.linkedin.com/help/linkedin/answer/a510363/","2026-09-25","official"
"USAJOBS","US","Resume / document upload to profile and applications","5 MB or less","5120","not stated","PDF recommended; GIF, JPG, JPEG, PNG, RTF, TXT, ODT, DOC, DOCX (no PDF portfolios)","https://usajobshelp.opm.gov/hc/en-us/articles/52839989720851-How-do-I-write-a-resume-for-a-federal-job","2026-09-25","official"
"HealthCare.gov","US","Proof documents to confirm application information","under 10 MB","10240","not stated",".pdf, .jpeg, .jpg, .gif, .xml, .png, .tiff, .bmp","https://www.healthcare.gov/help/how-to-upload-documents/","2026-09-25","official"
"USCIS (myUSCIS)","US","Evidence upload with online forms","not larger than 12MB","12288","not stated","PDF, JPG, JPEG; TIF/TIFF for some forms","https://www.uscis.gov/file-online/tips-for-filing-forms-online","2026-09-25","official"
"IRS Document Upload Tool","US","Responding to IRS notices / correspondence","15 MB per file","15360","up to 40 files; PDFs limited to 120 pages each","JPEG, PNG, PDF","https://www.irs.gov/newsroom/irs-expands-secure-digital-correspondence-for-taxpayers","2026-09-25","official"
"Social Security Administration","US","Upload Documents in my Social Security","each file cannot exceed 25MB","25600","each submission cannot exceed 50 files","not stated on page","https://www.ssa.gov/faqs/en/questions/KA-10122.html","2026-09-25","official"
"VA.gov","US","Uploading evidence for a disability claim","maximum file size is 25 MB","25600","not stated","PDF, GIF, JPEG, BMP, TXT","https://www.va.gov/resources/claim-status-tool-faqs/","2026-09-25","official"
"PACER / CM-ECF (C.D. California)","US","Federal court e-filing, U.S. District Court for the Central District of California","35 MB per PDF","35840","one document per file","PDF","https://www.cacd.uscourts.gov/news/pdf-file-size-limit-increase-cmecf","2026-09-25","institutional (court filing rules; other courts set different limits)"
"Greenhouse","US","Candidate uploads (resume, cover letter) via job application","up to 100 MB (resume parsing only under 2.5MB)","102400","not stated",".doc, .docx, .pdf, .rtf, .txt","https://support.greenhouse.io/hc/en-us/articles/360052218132-Supported-formats-for-resumes-cover-letters-and-other-candidate-uploads","2026-09-25","official"
"Lever","US","Candidate file upload question on application form","maximum of 100 MB","102400","not stated","not stated","https://help.lever.co/s/article/Configuring-your-Lever-Application-Form","2026-09-25","official"
"Grants.gov","US","Grant application package attachments (Workspace)","200 MB suggested for the whole package; per-file limit set by each agency","204800","200 MB total (suggested)","agency-dependent (e.g. .pdf, .xls, .docx); file names max 50 characters","https://www.grants.gov/applicants/applicant-faqs.html","2026-09-25","official (suggested maximum for the whole application package; per-attachment limit set by each agency)"
"FAFSA / StudentAid.gov","US","Document upload tool (Status Center)","not documented","","not stated","not stated","https://studentaid.gov/help-center/answers/article/why-cant-i-upload-supporting-documents-to-status-center","2026-09-25","not documented"
"Indeed (US)","US","Resume upload to profile / applications","not documented (help pages state formats only)","","one resume file at a time","uploaded file is auto-converted to PDF","https://www.indeed.com/help/job-seekers/articles/11314976176141-faqs-creating-uploading-and-managing-a-resume-file?hl=en&co=US","2026-09-25","not documented"
"Workday","US","Candidate attachment upload on Workday career sites","not documented publicly","","not stated","not stated","https://community.workday.com/sites/default/files/file-hosting/productionapi/Recruiting/v23.2/Put_Candidate_Attachment.html","2026-09-25","not documented"
"California DMV online services","US","Document upload for online DL/ID (REAL ID) application","not documented","","not stated","not stated","https://www.dmv.ca.gov/portal/driver-licenses-identification-cards/dl-id-online-app-edl-44/document-verification-faqs/","2026-09-25","not documented"
"California EDD (UI Online)","US","Claimant document upload (identity / address verification)","not documented for UI Online","","not stated","not stated","https://edd.ca.gov/en/unemployment/identity-verification/","2026-09-25","not documented"
"SAM.gov","US","Entity registration / reporting attachments","not documented","","not stated","not stated","https://sam.gov/subcontract-reports-help","2026-09-25","not documented"
"USA Staffing Application Manager (OPM)","US","Documents uploaded to a federal job application after leaving USAJOBS","under 5 MB","5120","not stated","GIF, JPG, JPEG, PNG, RTF, PDF, DOC, DOCX (unencrypted, not password-protected)","https://appsupport-usastaffing.opm.gov/hc/en-us/articles/45063179796755-Uploading-documents-to-your-application","2026-09-25","official"
"Handshake","US","Student documents (resume, cover letter, transcript) for job applications","1MB or less","1024","not stated","PDF (preferred), DOC, DOCX","https://support.joinhandshake.com/hc/en-us/articles/218692648-How-to-Upload-a-New-Document","2026-09-25","official"
"AMCAS Letter Service (AAMC)","US","Letters of evaluation uploaded for medical school applicants","under 5 MB","5120","not stated","not stated on page (no password-protected files)","https://students-residents.aamc.org/applying-medical-school-amcas/amcas-letter-service-advisors-and-other-letter-authors","2026-09-25","official"
"ERAS Letter of Recommendation Portal (AAMC)","US","Letters of recommendation for residency applications (ERAS)","1 MB","1024","not stated","not stated on page","https://www.aamc.org/services/eras-for-institutions/lor-portal/faq","2026-09-25","official"
"LSAC electronic law school applications","US","Attachments (personal statement, resume, addenda) to law school applications","3MB","3072","not stated","DOC, HTM, HTML, TXT, WP, WPD, RTF, WPS, WPT, DOCX, PDF","https://www.lsac.org/contact/jd-help-and-faqs","2026-09-25","official"
